model,mean_f1,mean_latency,mean_vram,n_langs,s_precision,s_integration,s_cost,s_coverage,weighted_score
darijabert-arabizi,0.9834,3.863,2800.9,1,1.0,1.0,0.5992346251621492,0.25,0.8448469250324299
distilcamembert,0.9486142302980808,420.8816900570018,0.0,1,0.838911597611052,1.0,0.4,0.25,0.7244557988055261
marbertv2,0.8408,3.4255000000000004,2807.3500000000004,2,0.33963783531296793,1.0,0.5989433100804804,0.5,0.5396075796725801
camelbert-da,0.8122318133401274,127.30964896549631,0.0,2,0.20734225618325786,1.0,0.8212011085867954,0.5,0.517911349808988
qarib,0.81915,3.598,2406.2,2,0.23937948422268596,1.0,0.6558529219701316,0.5,0.5008603265053694
xlm-t,0.767457888798667,357.3293018292479,0.0,4,0.0,1.0,0.4911814908372856,1.0,0.3982362981674571
darijabert,0.7745,2.689,2359.5,1,0.03261110656997893,1.0,0.6638110673767076,0.25,0.37406776676033104
