file,level,segment,tone,tone_label,majority,p_neg,p_neu,p_pos,confidence,coverage,n_clean,n_total,flag_review,reason
7769.srt,segment,144-155,neg,negative-leaning,neg,0.5,0.5,0.0,0.911,1.0,12,12,False,
7769.srt,segment,156-167,pos,positive-leaning,neu,0.167,0.583,0.25,0.858,1.0,12,12,True,mixed_neg_pos
7769.srt,segment,168-179,neu,neutral,neu,0.0,1.0,0.0,0.938,0.917,11,12,False,
7769.srt,segment,180-191,pos,positive-leaning,neu,0.0,0.727,0.273,0.882,0.917,11,12,False,
7769.srt,segment,192-203,neu,neutral,neu,0.1,0.8,0.1,0.897,0.833,10,12,False,
7769.srt,segment,204-209,neu,neutral,neu,0.167,0.833,0.0,0.944,1.0,6,6,False,
7770.srt,programme,-,neu,neutral,neu,0.202,0.774,0.024,0.911,0.8,168,210,False,
7770.srt,segment,0-11,neu,neutral,neu,0.0,0.857,0.143,0.884,0.583,7,12,False,
7770.srt,segment,12-23,neu,neutral,neu,0.1,0.9,0.0,0.93,0.833,10,12,False,
7770.srt,segment,24-35,neu,neutral,neu,0.111,0.778,0.111,0.88,0.75,9,12,False,
7770.srt,segment,36-47,neu,neutral,neu,0.0,1.0,0.0,0.941,0.583,7,12,False,
7770.srt,segment,48-59,neu,neutral,neu,0.0,1.0,0.0,0.906,0.667,8,12,False,
7770.srt,segment,60-71,neu,neutral,neu,0.2,0.8,0.0,0.947,0.833,10,12,False,
7770.srt,segment,72-83,neg,negative-leaning,neu,0.417,0.583,0.0,0.931,1.0,12,12,False,
7770.srt,segment,84-95,neu,neutral,neu,0.111,0.889,0.0,0.952,0.75,9,12,False,
7770.srt,segment,96-107,neu,neutral,neu,0.167,0.833,0.0,0.926,1.0,12,12,False,
7770.srt,segment,108-119,neg,negative-leaning,neu,0.3,0.7,0.0,0.935,0.833,10,12,False,
7770.srt,segment,120-131,neg,negative-leaning,neu,0.273,0.727,0.0,0.86,0.917,11,12,False,
7770.srt,segment,132-143,neu,neutral,neu,0.0,1.0,0.0,0.927,0.833,10,12,False,
